Year,Engine Size (L),Price (EUR),Price (USD)
2013,2.3,31921.869,37555.14
2015,4.4,38229.3875,44975.75
2012,1.2,52290.946,61518.76
2017,2.6,15898.3575,18703.95
2019,1.2,30349.0205,35704.73
2019,4.4,20143.4615,23698.19
2019,1.5,54958.4925,64657.05
2010,4.7,30074.071,35381.26
2013,2.6,38618.5515,45433.59
2020,4.2,60522.3715,71202.79
2010,3.2,56195.7865,66112.69
2012,4.4,20658.06,24303.6
2018,2.7,60101.68949999999,70707.87
2019,2.1,35202.2655,41414.43
2015,4.9,22565.29,26547.4
2015,3.1,53780.4605,63271.13
2015,5.0,61500.8575,72353.95
2017,2.6,16056.6445,18890.17
2019,1.6,26762.9215,31485.79
2010,4.8,36679.2255,43152.03
2010,3.7,38600.4465,45412.29
2015,3.6,34800.2495,40941.47
2011,3.4,57180.9875,67271.75
2019,1.9,15674.3485,18440.41
2017,2.0,28173.2245,33144.97
2016,3.3,16906.806,19890.36
2020,1.2,45351.9795,53355.27
2017,1.4,45931.3225,54036.85
2012,4.3,54660.2955,64306.23
2015,2.7,47045.4515,55347.59
2011,3.2,29687.9075,34926.95
2013,4.6,27021.806,31790.36
2011,3.1,52762.169,62073.14
2015,1.5,23761.036,27954.16
2014,4.5,50674.552,59617.12
2017,1.2,26562.3045,31249.77
2017,1.0,24385.0635,28688.31
2018,3.9,66032.4965,77685.29
2010,3.2,14837.872,17456.32
2014,4.8,62417.7865,73432.69
2016,2.2,60660.828,71365.68
2020,2.6,36392.41,42814.6
2012,2.8,56780.6205,66800.73
2019,3.1,51134.827,60158.62
2019,2.6,22981.9515,27037.59
2018,3.1,28306.802,33302.12
2013,4.9,13222.2515,15555.59
2013,1.1,59314.0625,69781.25
2015,4.5,24984.441,29393.46
2014,1.9,22503.767,26475.02
2014,3.5,46085.6995,54218.47
2020,3.2,41102.311,48355.66
2012,4.1,52890.442500000005,62224.05
2014,3.7,26752.611,31473.66
2015,3.9,47518.621,55904.26
2015,4.6,21915.04,25782.4
2017,1.7,55655.569,65477.14
2015,1.5,18588.6585,21869.01
2012,1.1,13840.7625,16283.25
2013,1.4,15300.765,18000.9
2020,3.0,46991.315,55283.9
2017,4.9,33930.835499999994,39918.63
2015,3.4,18351.041,21589.46
2019,5.0,33936.505000000005,39925.3
2017,4.3,64266.07749999999,75607.15
2010,2.4,51370.566,60435.96
2020,2.6,19544.203,22993.18
2011,3.2,23334.9395,27452.87
2017,4.1,66233.24100000001,77921.46
2016,3.6,46105.5895,54241.87
2017,3.7,49906.1945,58713.17
2019,1.0,51878.0075,61032.95
2014,3.8,55391.95,65167.0
2014,2.8,21356.8365,25125.69
2013,2.5,51371.858,60437.48
2016,1.2,33880.252,39859.12
2017,1.4,21593.009,25403.54
2020,4.3,15820.744,18612.64
2018,1.7,15143.209,17815.54
2016,2.3,37392.9705,43991.73
2014,4.3,34431.119999999995,40507.2
2013,1.5,43102.106,50708.36
2017,3.3,26099.9895,30705.87
2013,4.3,54418.683000000005,64021.98
2010,2.9,38754.611,45593.66
2015,2.8,56660.694,66659.64
2011,3.2,14624.726,17205.56
2013,4.7,29166.101,34313.06
2010,1.3,33806.9055,39772.83
2013,2.9,20059.575,23599.5
2015,2.9,23914.5545,28134.77
2014,4.2,65107.161,76596.66
2012,3.9,66896.3005,78701.53
2014,1.1,25602.8585,30121.01
2011,3.2,58674.8965,69029.29
2017,2.6,58915.77799999999,69312.68
2014,3.9,28301.5405,33295.93
2016,1.1,47358.345,55715.7
2015,4.8,59054.72749999999,69476.15
2020,1.5,35158.4055,41362.83
2014,2.2,42888.7305,50457.33
2018,1.4,26437.6605,31103.13
2011,2.5,20030.9045,23565.77
2012,1.8,40833.116,48038.96
2010,2.1,55806.801,65655.06
2016,3.0,54314.524,63899.44
2011,2.1,34943.67,41110.2
2011,1.4,19710.905,23189.3
2010,4.7,62415.5595,73430.07
2010,1.1,60129.663,70740.78
2018,1.0,30956.5665,36419.49
2020,3.4,26566.07,31254.2
2015,1.7,30164.494,35487.64
2010,3.2,66867.579,78667.74
2012,4.4,39832.989,46862.34
2013,3.2,16991.754999999997,19990.3
2014,4.1,37754.6625,44417.25
2019,4.2,50889.874,59870.44
2014,3.0,61896.4305,72819.33
2012,4.1,40127.5735,47208.91
2013,1.4,66275.537,77971.22
2016,1.9,46882.37899999999,55155.74
2020,4.5,19621.4425,23084.05
2013,1.9,37805.977,44477.62
2015,4.0,62212.741,73191.46
2017,1.7,22784.3095,26805.07
2017,3.5,40703.185,47886.1
2011,2.4,31446.0305,36995.33
2018,2.0,64335.106,75688.36
2020,4.1,60907.379,71655.74
2015,1.1,47043.913,55345.78
2018,2.3,39102.652,46003.12
2015,3.6,31141.875,36637.5
2018,4.8,20267.8845,23844.57
2020,4.0,16527.417,19444.02
2019,1.9,62176.7095,73149.07
2018,4.2,34731.5015,40860.59
2014,1.9,53434.366,62863.96
2019,1.2,49337.1875,58043.75
2012,4.6,28547.1055,33584.83
2015,2.7,25365.4365,29841.69
2014,2.3,33233.1215,39097.79
2013,3.4,21140.4095,24871.07
2015,3.9,58789.7655,69164.43
2016,4.6,53431.034,62860.04
2017,3.8,28692.1495,33755.47
2018,4.8,30894.414500000003,36346.37
2010,4.1,57776.336,67972.16
2014,1.9,56270.9435,66201.11
2019,3.9,21299.5465,25058.29
2020,2.7,25895.1225,30464.85
2013,2.3,17269.373499999998,20316.91
2012,3.8,32601.8265,38355.09
2012,1.7,40351.438,47472.28
2010,4.7,12787.009,15043.54
2012,1.2,17606.441,20713.46
2017,1.5,54089.4525,63634.65
2016,4.0,60978.0565,71738.89
2015,3.3,49563.041,58309.46
2010,4.6,27342.2475,32167.35
2020,4.3,46320.3335,54494.51
2015,3.2,48579.5655,57152.43
2018,4.1,46075.083,54205.98
2014,2.6,64852.78999999999,76297.4
2018,3.0,50214.6595,59076.07
2020,2.2,34452.004499999995,40531.77
2016,5.0,28357.411000000004,33361.66
2019,4.8,39894.852,46935.12
2018,4.6,49510.6045,58247.77
2016,4.2,19622.9895,23085.87
2015,5.0,62895.92,73995.2
2019,2.0,54992.5095,64697.07
2019,1.8,30434.505,35805.3
2010,2.0,53174.0875,62557.75
2016,3.2,20421.352,24025.12
2011,4.6,51115.4555,60135.83
2011,1.2,43934.783,51687.98
2017,3.8,39888.9275,46928.15
2015,4.9,48746.973,57349.38
2018,1.7,39683.525,46686.5
2014,2.8,50617.636,59550.16
2010,2.6,21104.9475,24829.35
2019,2.9,13156.13,15477.8
2019,5.0,58450.7005,68765.53
2019,3.4,40049.518,47117.08
2013,1.2,38365.1495,45135.47
2018,3.2,25726.4485,30266.41
2020,4.9,27513.837,32369.22
2020,2.8,66831.8195,78625.67
2015,3.8,43804.4695,51534.67
2012,2.2,25814.4405,30369.93
2018,4.9,32658.2835,38421.51
2016,2.4,62229.2905,73210.93
2018,1.4,51043.758,60051.48
2015,2.7,64547.3765,75938.09
2014,3.2,29894.806,35170.36
2011,4.7,18589.33,21869.8
2020,4.2,56689.968,66694.08
2011,2.6,59715.9,70254.0
2015,3.6,47855.289,56300.34
2015,4.1,28493.802,33522.12
2018,4.3,57510.099,67658.94
2019,3.4,59867.4125,70432.25
2013,2.7,30327.813,35679.78
2012,4.1,46229.868,54388.08
2017,3.6,47485.2925,55865.05
2010,3.4,17447.134000000002,20526.04
2019,4.2,46123.635,54263.1
2018,4.5,41822.9495,49203.47
2011,1.2,49224.0525,57910.65
2015,1.6,40266.829,47372.74
2012,3.4,58954.385,69358.1
2010,4.5,19966.143,23489.58
2013,1.7,18244.1025,21463.65
2015,4.9,29970.4815,35259.39
2018,4.2,23962.2905,28190.93
2010,3.0,42056.5635,49478.31
2016,1.5,64993.669,76463.14
2012,3.5,31190.155,36694.3
2016,4.9,12865.413,15135.78
2016,3.9,43942.875,51697.5
2013,4.9,40167.328,47255.68
2013,4.4,28506.2035,33536.71
2016,1.3,30467.621,35844.26
2020,2.8,22984.731,27040.86
2013,4.0,65941.3595,77578.07
2020,4.3,60306.0975,70948.35
2014,4.2,63308.3485,74480.41
2014,3.7,32449.1325,38175.45
2019,2.4,52596.844,61878.64
2019,4.8,24477.756,28797.36
2010,4.9,41183.146,48450.76
2020,2.4,56280.7355,66212.63
2019,4.1,64610.65899999999,76012.54
2011,1.8,54726.689,64384.34
2017,3.0,32689.521,38458.26
2020,1.5,21752.0695,25590.67
2013,2.0,33655.4695,39594.67
2018,2.2,38632.6275,45450.15
2020,3.6,54299.6575,63881.95
2020,2.0,50514.344,59428.64
2014,3.1,40385.2255,47512.03
2016,3.3,46868.3625,55139.25
2012,4.4,14048.748999999998,16527.94
2013,3.7,29788.4115,35045.19
2015,2.4,59012.1425,69426.05
2019,4.2,50823.0385,59791.81
2015,3.4,64618.5215,76021.79
2011,2.6,57847.18349999999,68055.51
2012,1.2,14134.905,16629.3
2011,3.0,53793.8735,63286.91
2014,1.1,35004.428,41181.68
2016,3.3,26005.4695,30594.67
2017,2.3,19191.98,22578.8
2011,2.0,48459.5115,57011.19
2017,2.5,13151.387,15472.22
2017,3.3,57773.038,67968.28
2015,3.8,19237.37,22632.2
2020,5.0,57753.0885,67944.81
2014,3.7,65240.61949999999,76753.67
2014,3.0,13020.4275,15318.15
2014,3.0,52105.68,61300.8
2011,3.4,21881.2695,25742.67
2019,4.4,43625.978,51324.68
2014,2.0,12875.2475,15147.35
2017,4.1,51085.765,60100.9
2016,2.0,52032.1635,61214.31
2015,3.3,38054.585,44770.1
2014,1.6,25627.381,30149.86
2014,1.0,22674.566,26675.96
2013,5.0,21856.4835,25713.51
2015,4.5,34150.075999999994,40176.56
2010,3.7,24209.5895,28481.87
2015,1.1,66635.189,78394.34
2016,1.4,45188.5585,53163.01
2018,2.8,25658.678,30186.68
2013,1.9,28750.281,33823.86
2016,3.3,14782.3245,17390.97
2019,2.1,43725.275,51441.5
2015,3.7,43919.007,51669.42
2012,5.0,32014.451,37664.06
2017,3.8,63446.244,74642.64
2013,2.2,36987.512,43514.72
2015,2.1,65970.8545,77612.77
2014,2.6,39077.1605,45973.13
2018,4.0,46992.1055,55284.83
2016,2.4,24042.828,28285.68
2017,2.5,58044.2645,68287.37
2015,4.1,30576.625,35972.5
2012,2.7,26262.9515,30897.59
2015,2.3,35908.7855,42245.63
2014,3.1,38855.4635,45712.31
2017,2.9,27499.8375,32352.75
2012,3.2,39525.578,46500.68
2016,1.3,33145.9115,38995.19
2020,2.7,43046.83899999999,50643.34
2018,2.2,36927.9865,43444.69
2018,1.1,46325.0595,54500.07
2020,3.2,38182.119,44920.14
2016,2.9,18695.1975,21994.35
2011,4.0,15961.3,18778.0
2017,1.8,38067.862,44785.72
2019,2.2,32504.153,38240.18
2020,2.9,36645.302,43112.12
2014,1.1,26577.5025,31267.65
2011,3.0,54979.7935,64682.11
2019,4.7,57079.1915,67151.99
2017,4.3,54221.194,63789.64
2014,3.2,38706.4415,45536.99
2018,2.0,48978.836,57622.16
2015,1.5,21580.9815,25389.39
2011,4.0,33483.2935,39392.11
2013,3.0,65160.847,76659.82
2015,3.7,52917.124,62255.44
2010,1.0,56629.1505,66622.53
2015,3.8,16673.336499999998,19615.69
2016,4.1,26776.445,31501.7
2017,4.4,25427.784,29915.04
2011,1.0,32539.887,38282.22
2012,2.1,56573.4075,66556.95
2012,1.4,37919.5455,44611.23
2018,3.4,27105.174,31888.44
2018,3.8,14005.5775,16477.15
2020,1.4,65925.099,77558.94
2016,1.8,18030.4975,21212.35
2019,4.5,39030.5635,45918.31
2017,3.8,18166.6335,21372.51
2017,2.1,59627.0155,70149.43
2010,3.8,14881.069,17507.14
2010,2.7,42445.362,49935.72
2018,4.7,51415.157,60488.42
2019,3.8,29852.731,35120.86
2017,4.4,66762.1875,78543.75
2019,1.3,20459.5,24070.0
2011,1.8,36486.3095,42925.07
2013,3.7,45386.4215,53395.79
2014,2.5,43887.574,51632.44
2010,4.1,47883.3475,56333.35
2013,2.4,56548.681,66527.86
2018,1.6,26990.322,31753.32
2014,4.5,23514.1025,27663.65
2013,2.8,15876.3595,18678.07
2013,2.4,53292.246,62696.76
2012,4.1,41979.834,49388.04
2011,4.5,50815.074,59782.44
2010,2.2,64796.69,76231.4
2011,2.5,46148.047,54291.82
2010,4.8,25415.6715,29900.79
2016,1.9,39674.77,46676.2
2013,4.7,40962.469,48191.14
2012,3.6,18369.6305,21611.33
2014,2.9,43130.0115,50741.19
2011,4.3,37224.3985,43793.41
2015,2.1,46023.8875,54145.75
2020,1.5,32609.5615,38364.19
2018,3.5,41688.471,49045.26
2015,4.7,61280.0445,72094.17
2015,2.8,14660.8765,17248.09
2015,1.3,19467.3205,22902.73
2012,3.4,28321.949,33319.94
2014,3.3,17642.906,20756.36
2015,2.2,55467.022,65255.32
2010,3.1,66237.474,77926.44
2019,2.3,58191.187,68460.22
2015,2.3,35198.1345,41409.57
2012,2.1,13518.706,15904.36
2018,2.1,40375.85,47501.0
2011,1.4,47323.903,55675.18
2010,4.0,52540.5995,61812.47
2010,4.7,52675.826,61971.56
2011,4.7,17731.323,20860.38
2020,1.1,48979.7115,57623.19
2015,4.8,16035.062999999998,18864.78
2016,2.5,33672.036,39614.16
2014,3.2,54037.968,63574.08
2016,2.4,37844.0995,44522.47
2013,4.0,19829.616,23328.96
2012,3.0,12758.7125,15010.25
2015,3.8,26225.05,30853.0
2011,4.3,60940.5885,71694.81
2017,4.0,56018.961,65904.66
2014,4.5,57236.0845,67336.57
2020,1.5,18655.919,21948.14
2012,5.0,32336.473500000004,38042.91
2014,4.9,57947.4155,68173.43
2014,4.8,40588.044,47750.64
2015,1.0,59323.132,69791.92
2011,1.5,66506.941,78243.46
2019,3.5,35787.3205,42102.73
2016,4.3,16491.343,19401.58
2020,2.0,51307.6065,60361.89
2020,3.0,28094.506,33052.36
2012,3.0,15916.913,18725.78
2017,3.7,42397.167,49879.02
2013,1.8,49457.726,58185.56
2020,1.9,39529.165,46504.9
2017,4.0,41687.3575,49043.95
2015,3.2,27097.5495,31879.47
2010,4.2,53736.15,63219.0
2019,2.7,13564.079,15957.74
2020,2.8,37237.5905,43808.93
2012,3.7,33943.1605,39933.13
2011,4.7,37413.370500000005,44015.73
2012,2.1,38450.4555,45235.83
2020,1.4,23293.5275,27404.15
2014,4.1,48090.2545,56576.77
2011,1.8,37684.2655,44334.43
2011,3.8,42744.307,50287.42
2020,2.2,42728.5225,50268.85
2012,3.5,36320.2705,42729.73
2018,3.4,31965.406,37606.36
2014,2.5,41082.5825,48332.45
2017,3.4,13166.143,15489.58
2015,4.3,56581.67799999999,66566.68
2011,3.5,58168.6365,68433.69
2018,4.2,34629.7225,40740.85
2010,1.3,23145.7295,27230.27
2016,3.1,18695.172,21994.32
2019,3.0,43058.501,50657.06
2010,4.1,41951.444,49354.64
2016,5.0,48104.2625,56593.25
2011,1.3,22184.524,26099.44
2011,4.9,46994.6215,55287.79
2018,4.2,49668.5515,58433.59
2012,2.2,21929.3455,25799.23
2017,1.8,53360.246,62776.76
2011,1.8,48080.2415,56564.99
2018,1.8,32029.088,37681.28
2020,2.2,65406.395,76948.7
2012,1.2,48485.207,57041.42
2011,3.8,14608.083,17185.98
2014,1.5,14494.0045,17051.77
2014,3.3,26039.7245,30634.97
2019,2.6,65089.75299999999,76576.18
2011,1.6,32338.607,38045.42
2019,1.8,39690.7415,46694.99
2013,1.3,56215.4725,66135.85
2016,2.3,32086.497,37748.82
2016,1.5,18802.476,22120.56
2020,2.2,37183.2585,43745.01
2020,4.0,45194.4915,53169.99
2016,3.3,39511.442500000005,46484.05
2012,4.2,45804.443,53887.58
2018,4.9,38795.4025,45641.65
2010,1.5,26174.5515,30793.59
2018,4.6,43883.4855,51627.63
2016,2.0,28593.49,33639.4
2012,1.0,38584.237,45393.22
2015,4.6,14727.814,17326.84
2013,4.3,37365.9405,43959.93
2019,2.2,14409.336,16952.16
2019,2.2,59004.3225,69416.85
2019,3.0,24898.6675,29292.55
2020,2.5,36010.097,42364.82
2015,1.8,31078.6605,36563.13
2012,2.8,32697.9785,38468.21
2015,3.8,45760.7275,53836.15
2014,2.3,52298.001,61527.06
2018,2.7,21886.531,25748.86
2020,4.6,56714.7115,66723.19
2020,1.3,65243.994,76757.64
2012,3.9,52165.503,61371.18
2017,2.6,50308.593,59186.58
2011,2.0,40322.8185,47438.61
2013,4.2,57008.344,67068.64
2016,3.1,33371.2125,39260.25
2017,2.1,53712.5455,63191.23
2019,4.2,38058.988,44775.28
2017,2.9,28535.52,33571.2
2016,1.2,34725.1945,40853.17
2016,4.5,59222.696,69673.76
2016,4.4,15643.7315,18404.39
2010,3.3,22214.053,26134.18
2013,3.5,47440.2,55812.0
2018,3.6,22403.144,26356.64
2012,4.2,51318.9625,60375.25
2020,2.4,13104.552,15417.12
2018,1.2,16709.334,19658.04
2015,2.3,57633.28949999999,67803.87
2010,1.4,30115.848500000004,35430.41
2011,4.7,51689.7835,60811.51
2010,3.4,18734.408,22040.48
2010,3.3,27826.0505,32736.53
2013,4.4,66690.3285,78459.21
2015,3.1,22229.914,26152.84
2018,2.8,55202.5615,64944.19
2019,4.1,34504.594,40593.64
2017,1.1,30196.1735,35524.91
2013,3.7,16560.6265,19483.09
2017,4.0,48526.3725,57089.85
2019,4.9,29574.9425,34794.05
2010,2.3,19828.6045,23327.77
2017,5.0,44148.303,51939.18
2010,3.0,32554.167,38299.02
2017,2.6,47284.361,55628.66
2016,3.8,66895.05099999999,78700.06
2017,2.3,62695.7195,73759.67
2014,3.2,33062.288499999995,38896.81
2014,2.0,30093.3065,35403.89
2015,4.1,31751.903,37355.18
2016,2.6,50549.823,59470.38
2011,3.6,40654.633,47828.98
2019,3.7,67396.976,79290.56
2010,2.5,41762.098,49131.88
2013,4.7,57353.97099999999,67475.26
2016,3.6,38845.867,45701.02
2015,3.4,20865.6895,24547.87
2014,3.9,23968.861,28198.66
2013,2.6,43199.635,50823.1
2013,3.5,58151.6875,68413.75
2010,4.9,19851.4695,23354.67
2016,1.6,61653.60249999999,72533.65
2015,3.4,67271.7625,79143.25
2020,2.1,40040.7885,47106.81
2012,4.6,24343.32,28639.2
2014,4.6,23660.413,27835.78
2018,2.7,27901.879,32825.74
2010,1.5,31422.766,36967.96
2014,4.1,41270.22,48553.2
2019,1.7,59317.63249999999,69785.45
2018,1.3,16171.0715,19024.79
2012,2.3,53368.4825,62786.45
2017,5.0,65600.807,77177.42
2012,2.7,64886.144,76336.64
2011,4.9,47944.9725,56405.85
2020,4.9,30941.1135,36401.31
2015,2.1,19043.1195,22403.67
2016,2.3,30509.4495,35893.47
2010,2.2,41269.1065,48551.89
2018,4.2,56841.4635,66872.31
2016,4.5,15875.348,18676.88
2016,2.1,28779.648500000003,33858.41
2015,1.4,45410.91,53424.6
2011,2.2,38227.9,44974.0
2010,1.8,23088.346,27162.76
2016,1.6,13154.5575,15475.95
2013,2.4,47001.192,55295.52
2011,4.4,16599.020999999997,19528.26
2013,3.7,67271.3545,79142.77
2014,2.7,49677.4595,58444.07
2016,1.4,33499.503,39411.18
2012,2.2,27837.772,32750.32
2011,1.8,55476.083,65265.98
2011,2.8,19200.6755,22589.03
2016,2.7,47596.345,55995.7
2015,1.1,16614.0065,19545.89
2018,2.7,37566.26,44195.6
2011,2.7,40525.892,47677.52
2018,1.5,35753.3035,42062.71
2016,1.5,42873.507,50439.42
2018,3.6,25541.446,30048.76
2011,1.7,22866.1305,26901.33
2016,3.8,45854.6185,53946.61
2010,2.7,51205.989,60242.34
2018,4.2,67733.46549999999,79686.43
2020,3.8,23095.2055,27170.83
2017,4.3,63687.032,74925.92
2013,1.8,45963.3335,54074.51
2013,3.0,60510.361,71188.66
2018,4.5,34908.072,41068.32
2011,2.2,19082.177,22449.62
2013,2.3,22093.557,25992.42
2010,4.1,45466.6445,53490.17
2010,3.4,21742.15,25579.0
2010,1.9,29350.4745,34529.97
2015,3.2,65255.49449999999,76771.17
2012,3.9,45778.4925,53857.05
2010,2.6,32052.99,37709.4
2013,2.8,45444.876,53464.56
2010,3.2,20432.4785,24038.21
2011,2.3,54333.8955,63922.23
2012,4.1,66225.3615,77912.19
2016,3.0,16157.854,19009.24
2014,3.2,43334.9975,50982.35
2013,3.8,16348.670499999998,19233.73
2013,5.0,32127.0845,37796.57
2014,3.6,67121.93299999999,78966.98
2020,2.4,66366.89499999999,78078.7
2015,2.9,21966.2525,25842.65
2020,2.6,14021.8125,16496.25
2020,4.3,66180.7025,77859.65
2015,1.9,25446.0335,29936.51
2012,4.0,41165.6275,48430.15
2017,1.2,22713.7935,26722.11
2019,3.2,21594.5135,25405.31
2012,2.3,45739.146,53810.76
2019,4.8,66188.48,77868.8
2020,3.0,13475.3815,15853.39
2013,1.0,49801.5595,58590.07
2018,3.2,21435.963,25218.78
2018,1.7,17549.253,20646.18
2013,5.0,52703.7145,62004.37
2014,2.2,30418.5845,35786.57
2012,4.0,51132.226,60155.56
2019,2.8,21950.4255,25824.03
2016,4.0,57929.268,68152.08
2011,2.7,32547.3245,38290.97
2019,4.9,55059.651,64776.06
2015,1.7,14870.018999999998,17494.14
2012,1.1,65715.1405,77311.93
2015,4.9,49589.4165,58340.49
2012,3.3,65010.38,76482.8
2010,3.6,37862.7995,44544.47
2017,3.4,49039.509,57693.54
2014,2.7,28394.607,33405.42
2015,3.3,38798.4115,45645.19
2016,2.6,16649.672499999997,19587.85
2020,3.5,44803.075,52709.5
2014,3.9,62686.735,73749.1
2017,2.0,38475.9725,45265.85
2015,1.3,64704.1505,76122.53
2013,4.6,13214.2615,15546.19
2010,3.3,14066.582,16548.92
2019,4.7,53672.468,63144.08
2013,1.9,29499.93,34705.8
2015,1.1,26793.2495,31521.47
2017,1.8,46569.1285,54787.21
2014,4.0,63307.711,74479.66
2013,3.2,67419.875,79317.5
2020,1.9,36884.7725,43393.85
2011,1.9,42983.055,50568.3
2013,4.8,34668.78,40786.8
2014,4.8,24973.9945,29381.17
2017,4.7,28919.601,34023.06
2010,3.1,37835.7525,44512.65
2013,4.4,29347.6355,34526.63
2020,1.6,66245.3875,77935.75
2010,1.1,65113.391500000005,76603.99
2020,1.4,54989.101,64693.06
2016,3.6,37540.267,44165.02
2015,4.8,39682.93,46685.8
2011,2.0,41829.2395,49210.87
2011,2.0,17208.692,20245.52
2020,3.7,64753.1615,76180.19
2019,3.4,35283.2875,41509.75
2010,2.2,29620.953,34848.18
2013,4.4,28742.494999999995,33814.7
2011,2.1,45464.647,53487.82
2017,3.1,15869.109,18669.54
2012,2.0,13004.3965,15299.29
2012,1.2,32653.107,38415.42
2014,4.4,55216.1615,64960.19
2020,2.8,15590.3855,18341.63
2019,4.8,48681.71,57272.6
2020,1.2,31238.4945,36751.17
2016,4.4,54225.2145,63794.37
2011,1.1,36565.436,43018.16
2018,3.9,65311.4075,76836.95
2018,2.9,65074.062,76557.72
2016,1.3,46165.7015,54312.59
2014,2.6,35458.625499999995,41716.03
2017,2.0,44433.2145,52274.37
2010,1.3,52192.9665,61403.49
2013,4.5,38805.1265,45653.09
2017,4.8,38831.2385,45683.81
2011,2.1,67568.948,79492.88
2014,2.9,21889.4805,25752.33
2018,2.2,50444.321,59346.26
2017,1.8,30275.4615,35618.19
2011,4.1,22744.6995,26758.47
2013,1.2,23331.1825,27448.45
2019,3.5,30270.982,35612.92
2013,4.1,58983.6845,69392.57
2013,4.6,36863.191,43368.46
2012,3.5,29439.019,34634.14
2010,1.5,25231.9525,29684.65
2014,3.3,21700.891,25530.46
2015,1.7,56430.87099999999,66389.26
2012,4.2,15318.0115,18021.19
2015,3.8,51379.032,60445.92
2018,3.9,58699.92049999999,69058.73
2014,3.5,37090.226,43635.56
2010,2.1,37979.3855,44681.63
2020,3.1,42428.583,49915.98
2010,3.6,23996.401,28231.06
2012,4.6,32775.65149999999,38559.59
2012,3.6,36905.495500000005,43418.23
2014,3.7,28659.909,33717.54
2010,1.0,64708.834,76128.04
2011,3.3,36027.6325,42385.45
2017,4.5,60011.768,70602.08
2020,3.1,18311.3035,21542.71
2014,3.3,48882.463,57508.78
2011,1.9,18299.701,21529.06
2015,1.7,58073.8445,68322.17
2020,2.3,55432.4355,65214.63
2011,4.6,31888.736,37516.16
2010,4.2,47249.8765,55588.09
2014,1.3,32494.446,38228.76
2018,2.9,22422.473,26379.38
2015,1.1,47458.4835,55833.51
2012,4.3,43923.716,51674.96
2018,1.4,43353.1875,51003.75
2015,5.0,49759.6715,58540.79
2017,3.5,30412.3965,35779.29
2017,4.5,57845.228500000005,68053.21
2015,1.9,56792.0445,66814.17
2013,2.8,59589.3605,70105.13
2019,2.1,20285.675,23865.5
2011,2.2,60269.573,70905.38
2015,3.8,54153.925,63710.5
2017,2.4,13172.5435,15497.11
2019,2.1,62322.17,73320.2
2011,3.2,36145.2385,42523.81
2018,4.8,26242.8575,30873.95
2018,1.4,54178.1585,63739.01
2015,2.0,54445.6195,64053.67
2015,4.5,31931.134,37566.04
2020,1.4,15742.9095,18521.07
2019,1.4,67646.36600000001,79583.96
2016,2.7,59560.05249999999,70070.65
2015,2.3,20590.944,24224.64
2012,3.2,64934.4155,76393.43
2018,1.2,39032.493,45920.58
2018,4.5,27538.453,32398.18
2019,2.2,49429.2425,58152.05
2019,3.0,15807.654,18597.24
2018,1.5,59673.179,70203.74
2012,4.3,47404.16,55769.6
2015,3.0,58734.2435,69099.11
2010,4.3,46993.1425,55286.05
2012,3.8,52210.2725,61423.85
2019,2.6,44301.915,52119.9
2010,3.5,67833.468,79804.08
2016,2.1,33361.7945,39249.17
2013,2.9,44543.2725,52403.85
2019,2.0,22253.7905,26180.93
2010,1.8,32993.2175,38815.55
2010,1.0,50128.954,58975.24
2014,3.0,14167.8595,16668.07
2016,1.1,59998.6525,70586.65
2020,4.8,14308.492,16833.52
2015,2.8,38681.783,45507.98
2017,3.4,49022.305,57673.3
2015,2.5,33004.9985,38829.41
2014,4.6,54709.3065,64363.89
2012,1.6,60992.141,71755.46
2016,3.1,65995.51299999999,77641.78
2013,2.8,38372.3915,45143.99
2020,4.3,28081.8155,33037.43
2020,3.9,14959.0905,17598.93
2011,1.1,66005.934,77654.04
2017,4.6,25401.1365,29883.69
2013,4.2,46241.6575,54401.95
2019,1.4,35086.469999999994,41278.2
2017,4.3,19869.6765,23376.09
2014,1.7,48099.1115,56587.19
2019,3.3,67433.33899999999,79333.34
2011,2.5,63433.3665,74627.49
2012,4.3,44804.6305,52711.33
2017,5.0,64515.08500000001,75900.1
2012,4.2,28440.2435,33459.11
2013,3.7,64648.518,76057.08
2019,1.3,39330.2735,46270.91
2019,4.0,15412.8715,18132.79
2013,3.7,43734.37,51452.2
2010,2.4,23262.7745,27367.97
2020,2.6,59163.434,69604.04
2015,3.7,63473.35899999999,74674.54
2018,4.1,41767.130000000005,49137.8
2010,2.4,58598.5495,68939.47
2013,2.0,47698.719,56116.14
2020,3.7,57485.398,67629.88
2015,2.7,59489.783,69987.98
2016,3.7,45729.354,53799.24
2013,3.1,62119.5725,73081.85
2010,2.8,61426.98399999999,72267.04
2017,4.3,21108.22,24833.2
2020,2.5,15079.544,17740.64
2011,1.7,60042.70799999999,70638.48
2018,1.1,44908.696,52833.76
2014,2.1,54452.8445,64062.17
2019,1.6,16771.265,19730.9
2010,4.7,30518.009,35903.54
2013,3.7,39206.862,46125.72
2014,1.0,49198.765,57880.9
2017,2.0,33660.697,39600.82
2014,2.8,51539.954,60635.24
2019,2.3,18536.579,21807.74
2010,1.5,59802.056,70355.36
2014,2.0,13694.571,16111.26
2011,2.7,49628.712,58386.72
2020,4.3,58430.462,68741.72
2012,5.0,48924.776,57558.56
2010,2.7,28848.7535,33939.71
2012,4.5,24154.569,28417.14
2019,1.0,35047.5655,41232.43
2020,3.9,41979.6725,49387.85
2014,4.4,22804.14,26828.4
