Make,Model,Year,Engine Size (L),Fuel Type,Price (USD),Price (EUR)
Chevrolet,Equinox,2010,3.1,Diesel,67433.23,57318.2455
Chevrolet,Impala,2016,2.4,Hybrid,57314.58,48717.393000000004
Honda,Fit,2020,2.7,Petrol,31045.24,26388.454
Ford,Fiesta,2014,4.1,Electric,67610.03,57468.525499999996
Honda,Accord,2014,3.2,Electric,18147.24,15425.154
Ford,Explorer,2016,4.7,Petrol,71581.64,60844.394
Mercedes-Benz,E-Class,2011,2.8,Petrol,78071.27,66360.5795
Audi,A4,2013,3.3,Hybrid,38337.84,32587.163999999997
Chevrolet,Tahoe,2018,3.3,Diesel,36664.41,31164.7485
Hyundai,Elantra,2020,1.3,Petrol,16681.92,14179.631999999998
Chevrolet,Equinox,2017,2.6,Petrol,43216.67,36734.169499999996
BMW,X5,2010,2.4,Diesel,28919.22,24581.337
Volkswagen,Tiguan,2012,3.3,Diesel,77940.24,66249.204
Audi,A3,2015,1.4,Electric,68736.82,58426.297000000006
Volkswagen,Tiguan,2019,2.2,Diesel,70911.79,60275.021499999995
Nissan,Rogue,2020,4.2,Petrol,45272.15,38481.3275
Nissan,Murano,2013,2.6,Hybrid,59758.92,50795.081999999995
Mercedes-Benz,GLA,2018,3.8,Petrol,16754.48,14241.307999999999
Chevrolet,Tahoe,2010,3.9,Diesel,37380.21,31773.178499999998
Hyundai,Kona,2013,2.9,Hybrid,66041.28,56135.087999999996
BMW,X3,2017,4.3,Hybrid,46300.47,39355.3995
Mercedes-Benz,C-Class,2016,4.5,Petrol,62787.1,53369.034999999996
Mercedes-Benz,GLC,2015,2.6,Petrol,52782.93,44865.4905
BMW,7 Series,2015,4.3,Electric,76585.17,65097.394499999995
Chevrolet,Malibu,2013,4.0,Hybrid,34080.9,28968.765
BMW,7 Series,2013,2.4,Diesel,76084.45,64671.782499999994
BMW,X5,2011,2.4,Petrol,22922.17,19483.8445
Mercedes-Benz,C-Class,2017,1.5,Petrol,58717.58,49909.943
Audi,A4,2020,5.0,Hybrid,50816.35,43193.8975
Honda,CR-V,2014,1.3,Diesel,45239.14,38453.269
Mercedes-Benz,GLC,2013,4.0,Electric,63793.7,54224.645
Volkswagen,Atlas,2016,3.5,Diesel,56691.27,48187.57949999999
Chevrolet,Malibu,2015,2.8,Petrol,30012.41,25510.5485
Audi,A6,2011,1.2,Electric,78172.9,66446.965
Toyota,Prius,2013,4.7,Diesel,41456.5,35238.025
Honda,CR-V,2016,1.2,Electric,20614.48,17522.308
Honda,Fit,2018,4.7,Electric,27275.7,23184.345
Honda,Pilot,2015,2.5,Electric,48280.24,41038.204
Nissan,Altima,2016,2.1,Petrol,70894.65,60260.45249999999
Volkswagen,Atlas,2012,4.8,Electric,56784.82,48267.097
Hyundai,Kona,2018,2.8,Diesel,28389.34,24130.939
Mercedes-Benz,E-Class,2016,4.9,Diesel,49389.7,41981.244999999995
Toyota,Camry,2012,3.4,Petrol,59567.41,50632.298500000004
Hyundai,Elantra,2016,3.3,Hybrid,55780.84,47413.71399999999
Chevrolet,Tahoe,2019,4.3,Petrol,33168.77,28193.454499999996
Toyota,Highlander,2015,2.4,Petrol,25648.22,21800.987
Nissan,Sentra,2016,4.0,Petrol,31451.05,26733.392499999998
Nissan,Versa,2015,2.9,Electric,78812.31,66990.4635
Ford,Focus,2011,4.6,Hybrid,28885.19,24552.4115
Chevrolet,Malibu,2020,4.2,Diesel,15665.29,13315.496500000001
Hyundai,Sonata,2013,2.1,Electric,56158.43,47734.665499999996
Audi,Q5,2018,3.6,Hybrid,25634.88,21789.648
Ford,Fiesta,2018,3.9,Petrol,34808.54,29587.259
Toyota,Highlander,2020,4.1,Petrol,67055.98,56997.58299999999
Mercedes-Benz,S-Class,2015,2.6,Electric,76540.91,65059.7735
BMW,5 Series,2018,4.0,Diesel,57015.34,48463.039
Toyota,Prius,2017,2.9,Diesel,17218.13,14635.4105
Ford,Fiesta,2010,2.3,Diesel,37954.42,32261.256999999998
Nissan,Sentra,2019,3.7,Hybrid,49153.92,41780.831999999995
Honda,Accord,2014,4.0,Diesel,31939.82,27148.846999999998
Toyota,Highlander,2019,1.4,Electric,47718.21,40560.4785
Volkswagen,Atlas,2018,3.4,Petrol,45263.93,38474.3405
Ford,F-150,2012,4.6,Diesel,61608.94,52367.599
Nissan,Altima,2011,1.8,Diesel,18333.7,15583.645
Audi,Q5,2010,3.7,Electric,24111.85,20495.0725
Toyota,Prius,2017,4.6,Diesel,16731.98,14222.182999999999
Toyota,RAV4,2010,1.4,Petrol,59099.22,50234.337
BMW,7 Series,2019,4.0,Diesel,58128.27,49409.0295
BMW,X3,2014,5.0,Electric,53834.67,45759.4695
Toyota,Prius,2010,2.3,Hybrid,41676.4,35424.94
Mercedes-Benz,C-Class,2018,1.3,Electric,43676.82,37125.297
Volkswagen,Passat,2012,2.9,Hybrid,63638.98,54093.133
Hyundai,Kona,2011,3.3,Hybrid,58761.52,49947.291999999994
Toyota,Corolla,2019,4.0,Petrol,30159.64,25635.694
Audi,A4,2010,1.3,Diesel,41890.3,35606.755000000005
Nissan,Altima,2017,1.5,Petrol,42327.32,35978.222
Honda,Civic,2010,1.8,Diesel,43771.58,37205.843
Honda,Pilot,2010,2.2,Petrol,35099.24,29834.353999999996
Mercedes-Benz,GLA,2017,3.4,Electric,70499.82,59924.847
Ford,Mustang,2016,3.1,Petrol,26263.09,22323.6265
BMW,3 Series,2010,1.2,Hybrid,26660.53,22661.4505
Nissan,Murano,2018,4.9,Petrol,62599.93,53209.9405
Honda,Pilot,2011,3.4,Hybrid,61230.84,52046.21399999999
BMW,X5,2020,1.5,Electric,75344.27,64042.6295
Ford,Focus,2015,4.6,Diesel,50573.27,42987.2795
Chevrolet,Malibu,2013,4.4,Hybrid,46173.47,39247.4495
Audi,A6,2016,3.5,Diesel,53988.24,45890.00399999999
Audi,A4,2013,2.8,Hybrid,16451.86,13984.081
Honda,Pilot,2010,4.8,Diesel,79282.67,67390.2695
Hyundai,Sonata,2011,4.3,Electric,75004.22,63753.587
Hyundai,Sonata,2012,3.5,Petrol,72611.37,61719.66449999999
Hyundai,Elantra,2018,3.0,Electric,15835.74,13460.378999999999
Audi,A4,2015,2.4,Diesel,45821.14,38947.969
Ford,Focus,2013,2.8,Petrol,16799.8,14279.829999999998
Volkswagen,Tiguan,2012,1.2,Hybrid,54407.36,46246.256
Nissan,Rogue,2010,3.0,Petrol,47542.17,40410.8445
Hyundai,Elantra,2017,1.3,Hybrid,21513.03,18286.0755
Nissan,Altima,2018,3.3,Diesel,46755.04,39741.784
Ford,Focus,2010,4.5,Electric,65503.28,55677.788
Audi,Q7,2010,3.1,Diesel,34490.45,29316.882499999996
Honda,Accord,2018,4.1,Electric,29142.13,24770.8105
Ford,F-150,2010,4.6,Electric,21106.81,17940.788500000002
Chevrolet,Equinox,2015,2.1,Diesel,15751.76,13388.996
Ford,Fiesta,2018,2.3,Hybrid,42323.77,35975.2045
Volkswagen,Passat,2012,2.9,Electric,38060.36,32351.306
Nissan,Sentra,2016,1.9,Diesel,43214.36,36732.206
BMW,3 Series,2016,3.0,Electric,26203.56,22273.026
Hyundai,Santa Fe,2016,4.2,Electric,26096.71,22182.2035
Mercedes-Benz,E-Class,2020,3.6,Petrol,21266.57,18076.5845
Volkswagen,Atlas,2020,1.3,Hybrid,60853.91,51725.8235
Mercedes-Benz,E-Class,2017,1.7,Hybrid,70160.12,59636.10199999999
Nissan,Murano,2016,2.7,Petrol,77479.51,65857.5835
Toyota,Corolla,2010,3.5,Hybrid,40312.6,34265.71
Ford,Mustang,2011,2.9,Hybrid,32243.3,27406.805
Audi,A3,2017,5.0,Electric,25132.91,21362.9735
Hyundai,Sonata,2010,4.7,Hybrid,74702.16,63496.836
Nissan,Rogue,2011,4.9,Electric,28337.54,24086.909
Honda,Accord,2015,3.1,Petrol,60590.85,51502.222499999996
Audi,A3,2020,3.8,Petrol,29148.47,24776.1995
Honda,Pilot,2020,3.5,Hybrid,77905.83,66219.9555
Volkswagen,Golf,2015,4.1,Hybrid,36204.92,30774.181999999997
BMW,3 Series,2010,1.1,Petrol,20606.7,17515.695
BMW,X3,2019,2.6,Electric,71835.95,61060.557499999995
Nissan,Sentra,2016,4.4,Hybrid,52207.51,44376.3835
Ford,Mustang,2015,3.5,Electric,79130.82,67261.197
Ford,Fiesta,2014,2.6,Petrol,61536.39,52305.9315
Volkswagen,Golf,2020,4.3,Hybrid,73158.69,62184.8865
Mercedes-Benz,E-Class,2019,2.3,Hybrid,57991.77,49293.004499999995
BMW,X3,2012,3.1,Electric,36045.76,30638.896
Chevrolet,Spark,2012,2.5,Hybrid,55567.82,47232.647
Nissan,Altima,2016,4.9,Diesel,57372.01,48766.2085
Chevrolet,Spark,2020,1.7,Hybrid,23063.92,19604.332
Volkswagen,Tiguan,2018,1.8,Diesel,23928.25,20339.0125
BMW,5 Series,2011,1.4,Petrol,69191.81,58813.038499999995
Chevrolet,Equinox,2015,1.5,Petrol,21657.46,18408.841
Hyundai,Kona,2014,3.4,Diesel,16604.54,14113.859
Audi,Q5,2013,3.8,Electric,18901.52,16066.292
BMW,X3,2017,3.1,Hybrid,67395.44,57286.124
BMW,X3,2010,1.8,Hybrid,33727.3,28668.205
Honda,Accord,2010,1.0,Hybrid,22773.87,19357.7895
Volkswagen,Jetta,2016,3.6,Electric,23258.37,19769.6145
Toyota,Corolla,2013,1.7,Diesel,42182.22,35854.887
Honda,Accord,2020,2.4,Petrol,32291.17,27447.494499999997
Nissan,Murano,2012,1.4,Electric,43839.17,37263.294499999996
Honda,CR-V,2010,1.8,Electric,41786.48,35518.508
Chevrolet,Spark,2012,4.3,Hybrid,71570.66,60835.061
Mercedes-Benz,GLC,2016,3.8,Hybrid,46594.22,39605.087
Toyota,RAV4,2019,2.0,Diesel,25968.28,22073.037999999997
Nissan,Versa,2014,2.6,Diesel,25508.06,21681.851
Chevrolet,Spark,2020,2.1,Petrol,46805.6,39784.759999999995
Ford,Explorer,2020,3.1,Electric,64464.84,54795.113999999994
Volkswagen,Atlas,2020,4.1,Hybrid,79795.27,67825.9795
Volkswagen,Jetta,2019,3.4,Hybrid,24961.94,21217.648999999998
Nissan,Versa,2012,2.2,Petrol,35175.73,29899.3705
Ford,Focus,2010,3.1,Petrol,30674.86,26073.631
Nissan,Rogue,2015,3.4,Electric,61208.63,52027.335499999994
BMW,7 Series,2020,3.8,Diesel,56299.36,47854.456
Honda,Fit,2016,3.1,Hybrid,54292.54,46148.659
BMW,X5,2010,1.1,Electric,59875.16,50893.886
Volkswagen,Tiguan,2013,4.1,Diesel,75427.93,64113.74049999999
Audi,A3,2011,1.9,Petrol,21247.07,18060.0095
Ford,Fiesta,2016,4.3,Diesel,16258.5,13819.725
Toyota,Prius,2012,1.6,Hybrid,29606.99,25165.9415
Nissan,Murano,2011,2.8,Electric,53542.99,45511.5415
Hyundai,Sonata,2014,2.4,Hybrid,62556.74,53173.229
Volkswagen,Atlas,2015,1.8,Hybrid,54569.95,46384.4575
Chevrolet,Spark,2012,2.2,Electric,31717.2,26959.62
Hyundai,Tucson,2010,1.3,Petrol,50887.05,43253.9925
Volkswagen,Atlas,2017,2.7,Electric,43373.47,36867.4495
Chevrolet,Tahoe,2015,1.2,Electric,53855.17,45776.894499999995
Mercedes-Benz,C-Class,2016,4.9,Petrol,46570.61,39585.0185
Audi,Q7,2016,2.0,Hybrid,45770.55,38904.9675
Honda,Fit,2020,3.0,Diesel,26647.68,22650.528
Volkswagen,Atlas,2019,2.1,Electric,72789.82,61871.347
Honda,Fit,2020,4.3,Diesel,19517.4,16589.79
Honda,Accord,2013,4.7,Electric,20773.71,17657.6535
Nissan,Altima,2014,3.9,Diesel,78844.41,67017.7485
Volkswagen,Golf,2014,4.4,Electric,26601.1,22610.934999999998
Chevrolet,Tahoe,2012,1.1,Diesel,29224.31,24840.6635
Toyota,Prius,2014,1.9,Diesel,38972.9,33126.965000000004
BMW,5 Series,2018,2.8,Diesel,39020.75,33167.6375
Audi,A4,2012,4.7,Electric,56791.58,48272.843
Honda,Civic,2014,4.5,Diesel,61507.68,52281.528
Toyota,Prius,2011,1.5,Diesel,17294.72,14700.512
Ford,F-150,2018,3.1,Diesel,49910.98,42424.333
Nissan,Versa,2018,1.0,Hybrid,45847.62,38970.477
Chevrolet,Spark,2012,4.8,Diesel,35454.31,30136.1635
Chevrolet,Tahoe,2020,1.9,Electric,17616.53,14974.0505
Volkswagen,Jetta,2020,4.5,Hybrid,25044.02,21287.417
Honda,Civic,2012,2.5,Hybrid,56565.35,48080.5475
Chevrolet,Equinox,2019,4.6,Hybrid,56204.77,47774.0545
Toyota,Corolla,2015,3.2,Electric,55291.16,46997.486000000004
Mercedes-Benz,GLC,2016,2.0,Electric,56722.24,48213.903999999995
Honda,Fit,2020,1.3,Diesel,46819.41,39796.4985
Ford,Mustang,2013,2.6,Electric,28209.79,23978.321500000002
Ford,F-150,2017,4.4,Electric,21683.29,18430.7965
BMW,5 Series,2014,3.4,Diesel,43219.72,36736.762
Audi,A4,2016,2.3,Hybrid,49491.17,42067.4945
Honda,Accord,2010,4.6,Petrol,69792.32,59323.472
Honda,CR-V,2011,3.6,Petrol,35140.85,29869.722499999996
Volkswagen,Passat,2020,1.9,Petrol,30078.52,25566.742
Volkswagen,Atlas,2016,2.8,Diesel,77290.4,65696.84
Honda,Fit,2016,4.8,Hybrid,34757.42,29543.806999999997
Ford,Explorer,2013,4.8,Electric,74039.39,62933.481499999994
Ford,F-150,2016,4.6,Diesel,62794.51,53375.3335
Hyundai,Tucson,2018,3.5,Diesel,24518.35,20840.5975
Toyota,RAV4,2017,4.8,Hybrid,63236.09,53750.676499999994
Ford,Mustang,2011,4.4,Hybrid,56842.62,48316.227
Volkswagen,Golf,2019,4.2,Diesel,65834.56,55959.376
Toyota,RAV4,2013,1.3,Petrol,39436.73,33521.2205
BMW,X5,2014,1.8,Hybrid,77015.09,65462.826499999996
Mercedes-Benz,E-Class,2016,4.2,Hybrid,40606.99,34515.9415
Honda,Pilot,2019,1.2,Petrol,49316.5,41919.025
Mercedes-Benz,S-Class,2018,3.3,Hybrid,33388.22,28379.987
Ford,F-150,2016,2.6,Diesel,30952.05,26309.2425
Volkswagen,Golf,2017,1.4,Petrol,79562.71,67628.30350000001
Ford,Focus,2010,1.2,Electric,70320.31,59772.263499999994
BMW,3 Series,2019,5.0,Electric,24704.67,20998.9695
Audi,A3,2011,4.0,Hybrid,33165.96,28191.066
Chevrolet,Equinox,2012,1.8,Electric,41005.61,34854.7685
Nissan,Sentra,2018,3.3,Hybrid,52933.49,44993.466499999995
Volkswagen,Golf,2011,1.9,Diesel,47914.54,40727.359
Toyota,Corolla,2020,2.1,Petrol,73022.26,62068.920999999995
Mercedes-Benz,S-Class,2012,1.0,Electric,38477.26,32705.671000000002
Nissan,Sentra,2011,3.3,Electric,35700.46,30345.391
Nissan,Murano,2017,2.1,Diesel,56534.97,48054.7245
Audi,Q5,2014,1.6,Diesel,72639.16,61743.286
Volkswagen,Tiguan,2020,3.7,Diesel,49460.15,42041.1275
Hyundai,Sonata,2015,3.6,Hybrid,30561.34,25977.139
Volkswagen,Tiguan,2014,2.1,Electric,45540.65,38709.5525
Audi,A6,2019,3.9,Diesel,33346.3,28344.355000000003
Hyundai,Elantra,2019,1.1,Petrol,52088.64,44275.344
Hyundai,Santa Fe,2018,2.8,Diesel,69847.46,59370.341
Honda,CR-V,2018,3.4,Petrol,23534.37,20004.2145
Nissan,Rogue,2013,4.6,Electric,48703.58,41398.043
Volkswagen,Jetta,2019,2.6,Electric,31935.84,27145.464
Honda,Fit,2016,2.6,Hybrid,20147.29,17125.196500000002
Ford,F-150,2010,3.1,Hybrid,21845.85,18568.9725
Honda,Civic,2014,4.7,Diesel,16207.74,13776.579
Honda,Civic,2012,2.3,Electric,62980.04,53533.034
BMW,5 Series,2019,1.9,Petrol,74782.05,63564.7425
Hyundai,Elantra,2015,1.7,Petrol,62584.66,53196.961
Honda,CR-V,2018,3.3,Diesel,36380.67,30923.569499999998
Ford,Mustang,2016,4.6,Diesel,27867.42,23687.306999999997
BMW,5 Series,2018,1.2,Diesel,70597.74,60008.079000000005
Ford,Mustang,2010,3.3,Petrol,59694.17,50740.044499999996
BMW,3 Series,2019,4.9,Diesel,55501.62,47176.377
Hyundai,Sonata,2020,2.1,Hybrid,53929.73,45840.2705
Chevrolet,Malibu,2014,4.0,Hybrid,44104.51,37488.8335
Honda,Pilot,2017,2.0,Diesel,56924.5,48385.825
Toyota,RAV4,2017,4.5,Electric,44576.86,37890.331
Honda,Civic,2020,2.9,Hybrid,25634.51,21789.333499999997
Toyota,Corolla,2018,1.7,Electric,42331.24,35981.554
BMW,X3,2020,4.6,Hybrid,32174.7,27348.495
Audi,Q7,2019,4.0,Diesel,23259.2,19770.32
Nissan,Versa,2018,2.3,Hybrid,50653.1,43055.134999999995
Toyota,Prius,2010,4.7,Petrol,61591.1,52352.435
Volkswagen,Passat,2020,2.2,Electric,69269.2,58878.81999999999
Audi,A6,2014,3.3,Electric,79418.57,67505.78450000001
BMW,5 Series,2011,3.2,Hybrid,26636.95,22641.4075
Volkswagen,Jetta,2015,3.8,Hybrid,75729.83,64370.3555
Chevrolet,Tahoe,2018,3.6,Diesel,39441.07,33524.9095
Ford,Explorer,2010,2.9,Petrol,27724.39,23565.731499999998
Honda,Civic,2012,2.3,Petrol,57619.81,48976.8385
Toyota,Corolla,2019,2.6,Electric,75993.27,64594.279500000004
Chevrolet,Impala,2011,3.1,Electric,70018.74,59515.929000000004
Volkswagen,Tiguan,2020,4.4,Petrol,78080.49,66368.4165
Chevrolet,Tahoe,2014,1.7,Petrol,21135.28,17964.987999999998
Audi,Q7,2012,2.9,Hybrid,44355.39,37702.0815
Audi,A4,2010,3.7,Petrol,72879.41,61947.4985
Audi,A3,2010,1.3,Electric,66281.85,56339.5725
Honda,Civic,2017,2.0,Petrol,63602.65,54062.2525
Mercedes-Benz,GLC,2012,1.6,Electric,31225.86,26541.981
BMW,7 Series,2018,3.0,Petrol,37141.72,31570.462
Ford,Focus,2015,3.4,Diesel,27940.32,23749.272
Honda,Fit,2012,2.6,Hybrid,35007.63,29756.485499999995
Mercedes-Benz,S-Class,2018,2.2,Electric,32149.42,27327.006999999998
Hyundai,Elantra,2010,2.5,Hybrid,53850.17,45772.644499999995
Toyota,Prius,2016,4.5,Hybrid,46990.29,39941.7465
Nissan,Sentra,2015,2.5,Hybrid,40847.49,34720.3665
Audi,A4,2016,2.5,Electric,51023.8,43370.23
Audi,A4,2019,1.4,Diesel,25594.15,21755.0275
Honda,Civic,2017,2.3,Electric,26940.29,22899.2465
Audi,A6,2011,2.0,Diesel,26079.4,22167.49
Ford,Mustang,2018,3.6,Electric,53286.49,45293.5165
Honda,Pilot,2017,3.7,Diesel,49363.4,41958.89
Hyundai,Sonata,2019,4.7,Petrol,78637.74,66842.079
Chevrolet,Equinox,2017,4.1,Petrol,76374.86,64918.631
Audi,Q7,2016,4.1,Diesel,53751.56,45688.825999999994
Audi,Q7,2017,2.5,Hybrid,74551.32,63368.622
Nissan,Altima,2013,4.2,Diesel,49448.6,42031.31
BMW,3 Series,2014,4.6,Petrol,36971.04,31425.384
Mercedes-Benz,GLC,2018,4.4,Petrol,50419.76,42856.796
Hyundai,Sonata,2014,3.2,Hybrid,61415.41,52203.0985
Chevrolet,Tahoe,2018,4.9,Hybrid,74341.58,63190.343
Chevrolet,Equinox,2014,4.0,Electric,57768.67,49103.3695
Honda,CR-V,2013,3.1,Diesel,75365.11,64060.343499999995
Ford,Focus,2010,3.7,Diesel,74603.11,63412.6435
Hyundai,Sonata,2015,1.1,Electric,66158.35,56234.5975
Mercedes-Benz,C-Class,2013,2.0,Petrol,77739.72,66078.762
Toyota,Camry,2017,1.3,Petrol,35984.11,30586.4935
Audi,A3,2013,2.4,Diesel,34783.9,29566.315
Volkswagen,Jetta,2018,3.4,Diesel,58457.07,49688.5095
BMW,X5,2019,1.4,Petrol,45770.35,38904.7975
Ford,Focus,2010,4.7,Petrol,48632.83,41337.9055
BMW,3 Series,2016,2.6,Electric,58075.72,49364.362
Mercedes-Benz,E-Class,2013,3.9,Diesel,63075.3,53614.005000000005
Audi,A6,2014,3.8,Petrol,52967.82,45022.647
Audi,A6,2014,3.3,Petrol,62603.48,53212.958
Nissan,Sentra,2015,4.4,Diesel,26764.21,22749.5785
Hyundai,Santa Fe,2011,4.9,Petrol,40402.8,34342.380000000005
Ford,Explorer,2019,2.2,Hybrid,55339.58,47038.643000000004
Chevrolet,Impala,2019,2.8,Diesel,72992.15,62043.32749999999
Nissan,Murano,2012,3.9,Diesel,55056.09,46797.676499999994
Ford,Fiesta,2010,2.4,Electric,60887.03,51753.9755
Hyundai,Santa Fe,2012,3.5,Electric,66231.5,56296.775
Ford,Explorer,2013,4.0,Hybrid,57590.37,48951.8145
Volkswagen,Golf,2017,2.2,Petrol,27976.02,23779.617
Audi,A3,2017,4.2,Diesel,59606.05,50665.1425
Chevrolet,Malibu,2019,4.3,Petrol,40916.61,34779.1185
Volkswagen,Golf,2014,4.9,Electric,44804.66,38083.961
Hyundai,Elantra,2011,3.2,Hybrid,43848.77,37271.4545
Nissan,Murano,2016,1.4,Hybrid,78632.29,66837.44649999999
Honda,Pilot,2013,3.5,Hybrid,51773.92,44007.831999999995
Honda,Civic,2014,1.5,Hybrid,41804.09,35533.4765
Volkswagen,Golf,2012,1.3,Electric,79367.82,67462.647
Toyota,Prius,2019,2.8,Hybrid,37757.93,32094.2405
Chevrolet,Equinox,2015,1.9,Hybrid,57342.83,48741.4055
Volkswagen,Jetta,2011,3.2,Petrol,51970.1,44174.585
Nissan,Versa,2011,2.5,Hybrid,46986.65,39938.652500000004
Volkswagen,Golf,2012,4.3,Hybrid,25290.74,21497.129
Volkswagen,Golf,2012,2.9,Hybrid,22151.6,18828.859999999997
Chevrolet,Malibu,2016,2.3,Diesel,58543.05,49761.5925
Toyota,Camry,2014,2.3,Petrol,64745.95,55034.057499999995
Toyota,Corolla,2015,1.5,Hybrid,23288.2,19794.97
Toyota,Highlander,2013,4.3,Petrol,60161.31,51137.1135
Honda,Civic,2018,1.0,Electric,15523.71,13195.153499999999
Ford,Focus,2016,3.0,Diesel,33071.8,28111.030000000002
BMW,3 Series,2017,5.0,Electric,70980.42,60333.356999999996
Volkswagen,Passat,2013,1.4,Petrol,68238.94,58003.099
Chevrolet,Tahoe,2011,2.8,Hybrid,16805.8,14284.929999999998
Volkswagen,Passat,2020,3.3,Electric,66593.46,56604.441000000006
Nissan,Versa,2012,1.0,Diesel,24435.48,20770.158
Mercedes-Benz,C-Class,2014,4.0,Petrol,70087.63,59574.4855
Toyota,Corolla,2010,3.0,Diesel,20727.39,17618.281499999997
Volkswagen,Atlas,2014,4.1,Electric,60037.52,51031.89199999999
Chevrolet,Malibu,2013,3.1,Hybrid,77880.54,66198.45899999999
Chevrolet,Impala,2010,2.0,Hybrid,39436.37,33520.9145
Chevrolet,Equinox,2010,4.6,Diesel,15914.2,13527.07
Chevrolet,Spark,2010,2.5,Electric,65429.74,55615.278999999995
Mercedes-Benz,C-Class,2015,2.5,Diesel,67162.28,57087.937999999995
BMW,X5,2011,1.3,Hybrid,59374.1,50467.985
Mercedes-Benz,S-Class,2020,2.4,Electric,76937.98,65397.282999999996
Hyundai,Sonata,2019,1.3,Electric,45088.73,38325.4205
Toyota,Prius,2015,2.4,Petrol,28848.93,24521.5905
Toyota,Highlander,2013,4.8,Electric,45453.91,38635.8235
Mercedes-Benz,E-Class,2016,4.0,Diesel,59317.64,50419.994
Chevrolet,Malibu,2017,1.9,Petrol,66264.56,56324.876
Mercedes-Benz,S-Class,2012,5.0,Diesel,76877.25,65345.6625
BMW,3 Series,2016,4.3,Hybrid,24410.52,20748.942
Volkswagen,Golf,2010,1.5,Electric,63451.99,53934.19149999999
Nissan,Altima,2013,4.3,Electric,53193.73,45214.6705
Hyundai,Kona,2014,3.7,Electric,35907.66,30521.511000000002
Ford,Explorer,2018,1.7,Petrol,48379.15,41122.277500000004
BMW,7 Series,2010,3.2,Petrol,50523.02,42944.566999999995
BMW,X3,2019,3.9,Electric,37455.93,31837.5405
Audi,A6,2013,1.0,Petrol,22658.39,19259.6315
Volkswagen,Tiguan,2019,4.2,Diesel,43574.46,37038.291
Nissan,Sentra,2016,3.2,Diesel,59034.6,50179.409999999996
Hyundai,Kona,2013,3.0,Petrol,21460.02,18241.017
Volkswagen,Golf,2015,1.4,Electric,32670.4,27769.84
Hyundai,Santa Fe,2013,4.6,Petrol,56336.44,47885.974
Hyundai,Santa Fe,2017,3.1,Electric,15791.74,13422.979
BMW,X3,2011,1.6,Diesel,65200.5,55420.424999999996
Nissan,Sentra,2015,4.3,Diesel,28851.71,24523.9535
Honda,Accord,2020,2.9,Petrol,69053.71,58695.6535
Ford,Focus,2019,1.1,Hybrid,34180.8,29053.68
Chevrolet,Equinox,2014,3.9,Electric,66442.02,56475.717000000004
Chevrolet,Equinox,2011,3.0,Hybrid,25961.3,22067.105
Ford,Fiesta,2014,2.6,Diesel,63690.38,54136.823
Hyundai,Kona,2017,1.9,Petrol,63914.1,54326.985
Chevrolet,Tahoe,2018,1.2,Electric,21957.8,18664.129999999997
Hyundai,Elantra,2012,2.1,Petrol,67696.17,57541.74449999999
Nissan,Sentra,2016,2.3,Petrol,71402.39,60692.0315
Ford,Focus,2017,2.6,Hybrid,47750.85,40588.222499999996
Hyundai,Santa Fe,2010,2.5,Diesel,65345.78,55543.913
Honda,Fit,2014,1.5,Hybrid,21306.87,18110.8395
Honda,Accord,2019,1.1,Petrol,22026.85,18722.8225
Nissan,Murano,2019,4.0,Diesel,28462.18,24192.853
Honda,Pilot,2020,4.2,Hybrid,60828.7,51704.395
Hyundai,Santa Fe,2018,3.9,Hybrid,29868.44,25388.174
Toyota,Prius,2011,3.5,Electric,16250.35,13812.7975
Honda,Accord,2018,4.0,Diesel,31891.26,27107.570999999996
Ford,Mustang,2020,1.4,Hybrid,63858.52,54279.742
Nissan,Murano,2017,2.3,Petrol,39496.34,33571.888999999996
Toyota,Corolla,2011,1.7,Petrol,72932.85,61992.9225
Toyota,Camry,2016,1.8,Diesel,23870.23,20289.695499999998
Nissan,Rogue,2019,3.3,Electric,50048.83,42541.5055
Ford,Focus,2018,3.6,Petrol,38317.16,32569.586000000003
Chevrolet,Tahoe,2010,3.9,Hybrid,58002.85,49302.4225
Mercedes-Benz,GLA,2014,3.6,Diesel,28735.33,24425.0305
Chevrolet,Tahoe,2016,3.3,Diesel,43948.5,37356.225
Chevrolet,Malibu,2018,4.9,Petrol,38294.83,32550.6055
Mercedes-Benz,S-Class,2011,4.9,Hybrid,64546.22,54864.287
Mercedes-Benz,C-Class,2019,1.3,Hybrid,77221.97,65638.6745
Mercedes-Benz,S-Class,2010,4.2,Petrol,46696.15,39691.7275
Mercedes-Benz,GLC,2015,2.6,Electric,79764.31,67799.6635
Audi,Q7,2010,2.4,Diesel,25629.41,21784.998499999998
Volkswagen,Tiguan,2010,3.5,Petrol,79870.25,67889.7125
Toyota,Prius,2016,4.2,Electric,66681.17,56678.99449999999
Ford,Explorer,2020,2.5,Hybrid,43985.82,37387.947
Volkswagen,Tiguan,2012,3.1,Hybrid,75318.48,64020.70799999999
Nissan,Murano,2011,4.4,Electric,66532.66,56552.761
BMW,5 Series,2016,4.1,Electric,52851.62,44923.877
Mercedes-Benz,C-Class,2017,4.9,Electric,44217.25,37584.6625
Honda,Civic,2020,3.1,Petrol,71281.95,60589.657499999994
Audi,A3,2011,4.2,Petrol,17554.88,14921.648000000001
Chevrolet,Malibu,2013,2.7,Petrol,52856.8,44928.28
Nissan,Altima,2010,3.1,Electric,62227.29,52893.1965
